RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,19,29221,Webb Simpson,23.00,23,1
2,18,33448,Justin Thomas,24.00,24,1
2,10,37189,Harold Varner III,24.00,24,1
4,36,47959,Bryson DeChambeau,25.00,25,1
4,36,21961,Charles Howell III,25.00,25,1
4,0,28132,Tyrone Van Aswegen,25.00,25,1
4,0,25632,Jimmy Walker,25.00,25,1
8,54,46435,Austin Cook,26.00,26,1
8,54,35506,Mackenzie Hughes,26.00,26,1
8,12,27556,Ted Potter Jr.,26.00,26,1
8,0,26476,Chez Reavie,26.00,26,1
12,0,30978,Kiradech Aphibarnrat,27.00,27,1
12,41,25686,Jason Dufner,27.00,27,1
12,0,21209,Sergio Garcia,27.00,27,1
12,0,29974,Branden Grace,27.00,27,1
12,41,34563,Chesson Hadley,27.00,27,1
12,0,29926,Danny Lee,27.00,27,1
12,0,29461,Jamie Lovemark,27.00,27,1
12,41,33204,Shane Lowry,27.00,27,1
20,0,33141,Keegan Bradley,28.00,28,1
20,0,29479,Scott Brown,28.00,28,1
20,0,26499,Rafa Cabrera Bello,28.00,28,1
20,-14,28089,Jason Day,28.00,28,1
20,0,33399,Adam Hadwin,28.00,28,1
20,0,23320,Ryan Palmer,28.00,28,1
20,42,34360,Patrick Reed,28.00,28,1
20,-8,48081,Xander Schauffele,28.00,28,1
20,0,34046,Jordan Spieth,28.00,28,1
20,42,27963,Chris Stroud,28.00,28,1
20,0,27095,Nick Watney,28.00,28,1
20,0,25804,Bubba Watson,28.00,28,1
32,-20,33948,Byeong Hun An,29.00,29,1
32,0,35450,Patrick Cantlay,29.00,29,1
32,21,29535,Brice Garnett,29.00,29,1
32,30,31646,Emiliano Grillo,29.00,29,1
32,0,30925,Dustin Johnson,29.00,29,1
32,0,33410,Andrew Landry,29.00,29,1
32,-12,34213,Grayson Murray,29.00,29,1
32,0,25396,Kevin Na,29.00,29,1
32,0,29908,C.T. Pan,29.00,29,1
32,0,24138,Ian Poulter,29.00,29,1
32,-31,26331,Charl Schwartzel,29.00,29,1
32,0,24502,Adam Scott,29.00,29,1
32,38,08793,Tiger Woods,29.00,29,1
45,0,39954,Cody Gribble,30.00,30,1
45,-5,35421,Brandon Harkins,30.00,30,1
45,0,29420,Billy Horschel,30.00,30,1
45,0,30926,Chris Kirk,30.00,30,1
45,8,36689,Brooks Koepka,30.00,30,1
45,0,27936,Martin Laird,30.00,30,1
45,0,27349,Alex Noren,30.00,30,1
45,0,46970,Jon Rahm,30.00,30,1
45,0,21528,Henrik Stenson,30.00,30,1
45,0,32333,Kevin Tway,30.00,30,1
55,-35,29725,Tony Finau,31.00,31,1
55,-35,27896,Ross Fisher,31.00,31,1
55,0,40098,Matt Fitzpatrick,31.00,31,1
55,0,30911,Tommy Fleetwood,31.00,31,1
55,17,35461,Beau Hossler,31.00,31,1
55,0,37455,Si Woo Kim,31.00,31,1
55,0,23108,Matt Kuchar,31.00,31,1
55,0,26596,Ryan Moore,31.00,31,1
55,0,22405,Justin Rose,31.00,31,1
55,0,06527,Steve Stricker,31.00,31,1
65,-53,40026,Daniel Berger,32.00,32,1
65,0,30944,Jason Kokrak,32.00,32,1
65,0,26851,Marc Leishman,32.00,32,1
65,-53,23621,Rory Sabbatini,32.00,32,1
65,0,47128,Richy Werenski,32.00,32,1
70,0,23353,J.J. Henry,33.00,33,1
70,-8,27064,Jhonattan Vegas,33.00,33,1
