PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND
46970,Jon Rahm,2021 THE PLAYERS Championship,80.56,294.8,50.0,57.14,30.5
52375,Doug Ghim,2021 THE PLAYERS Championship,79.17,281.0,69.64,73.33,31.5
34046,Jordan Spieth,2021 THE PLAYERS Championship,77.78,288.1,64.29,43.75,31.25
20396,Lee Westwood,2021 THE PLAYERS Championship,77.78,294.8,51.79,75.0,28.5
40098,Matt Fitzpatrick,2021 THE PLAYERS Championship,76.39,285.3,71.43,41.18,29.0
21961,Charles Howell III,2021 THE PLAYERS Championship,76.39,300.8,69.64,47.06,30.0
37455,Si Woo Kim,2021 THE PLAYERS Championship,75.0,284.9,58.93,61.11,30.25
45486,Joaquin Niemann,2021 THE PLAYERS Championship,75.0,303.6,46.43,50.0,30.25
37189,Harold Varner III,2021 THE PLAYERS Championship,75.0,304.0,53.57,38.89,31.0
47483,Will Zalatoris,2021 THE PLAYERS Championship,75.0,306.8,60.71,44.44,30.5
21209,Sergio Garcia,2021 THE PLAYERS Championship,73.61,293.3,53.57,73.68,30.25
32448,James Hahn,2021 THE PLAYERS Championship,73.61,293.9,60.71,57.89,30.75
12716,Charley Hoffman,2021 THE PLAYERS Championship,73.61,304.4,41.07,52.63,30.25
30944,Jason Kokrak,2021 THE PLAYERS Championship,73.61,299.6,58.93,63.16,29.25
33204,Shane Lowry,2021 THE PLAYERS Championship,73.61,291.3,53.57,73.68,29.25
47679,Victor Perez,2021 THE PLAYERS Championship,73.61,299.6,66.07,47.37,29.5
29970,Dylan Frittelli,2021 THE PLAYERS Championship,72.22,304.4,44.64,55.0,30.25
32791,K.H. Lee,2021 THE PLAYERS Championship,72.22,298.4,69.64,45.0,30.5
1810,Phil Mickelson,2021 THE PLAYERS Championship,72.22,286.8,64.29,45.0,29.25
22056,Cameron Percy,2021 THE PLAYERS Championship,72.22,279.6,58.93,55.0,30.25
33448,Justin Thomas,2021 THE PLAYERS Championship,72.22,295.3,60.71,65.0,28.0
25364,Paul Casey,2021 THE PLAYERS Championship,70.83,292.5,60.71,71.43,28.0
39997,Corey Conners,2021 THE PLAYERS Championship,70.83,288.8,67.86,61.9,28.25
29420,Billy Horschel,2021 THE PLAYERS Championship,70.83,286.8,66.07,52.38,29.75
32757,Patton Kizzire,2021 THE PLAYERS Championship,70.83,292.5,62.5,47.62,29.5
23320,Ryan Palmer,2021 THE PLAYERS Championship,70.83,288.8,57.14,76.19,29.0
47959,Bryson DeChambeau,2021 THE PLAYERS Championship,69.44,302.8,53.57,68.18,27.75
35310,Lanto Griffin,2021 THE PLAYERS Championship,69.44,294.9,48.21,36.36,29.25
33597,Harry Higgs,2021 THE PLAYERS Championship,69.44,282.0,55.36,59.09,29.75
27936,Martin Laird,2021 THE PLAYERS Championship,69.44,290.4,69.64,40.91,32.0
26329,Louis Oosthuizen,2021 THE PLAYERS Championship,69.44,290.3,57.14,59.09,30.0
32150,Michael Thompson,2021 THE PLAYERS Championship,69.44,277.5,66.07,50.0,30.5
49964,Aaron Wise,2021 THE PLAYERS Championship,69.44,294.0,50.0,54.55,31.5
45526,Abraham Ancer,2021 THE PLAYERS Championship,68.06,294.1,73.21,73.91,30.0
28089,Jason Day,2021 THE PLAYERS Championship,68.06,294.9,64.29,60.87,30.0
39971,Sungjae Im,2021 THE PLAYERS Championship,68.06,290.0,69.64,69.57,28.75
40042,Tyler McCumber,2021 THE PLAYERS Championship,68.06,302.8,57.14,65.22,29.25
34360,Patrick Reed,2021 THE PLAYERS Championship,68.06,286.1,60.71,52.17,28.75
23621,Rory Sabbatini,2021 THE PLAYERS Championship,68.06,283.3,60.71,43.48,31.0
19803,Ryan Armour,2021 THE PLAYERS Championship,66.67,281.6,62.5,45.83,29.0
40026,Daniel Berger,2021 THE PLAYERS Championship,66.67,290.4,64.29,58.33,28.5
25900,Lucas Glover,2021 THE PLAYERS Championship,66.67,292.1,67.86,45.83,29.0
46402,Talor Gooch,2021 THE PLAYERS Championship,66.67,295.8,46.43,62.5,27.5
33399,Adam Hadwin,2021 THE PLAYERS Championship,66.67,291.4,66.07,58.33,27.75
30926,Chris Kirk,2021 THE PLAYERS Championship,66.67,279.1,64.29,54.17,30.25
35449,Adam Long,2021 THE PLAYERS Championship,66.67,281.1,75.0,54.17,28.5
25493,Nick Taylor,2021 THE PLAYERS Championship,66.67,289.0,58.93,58.33,29.75
30927,Brendon Todd,2021 THE PLAYERS Championship,66.67,272.4,78.57,58.33,28.5
33141,Keegan Bradley,2021 THE PLAYERS Championship,65.28,294.0,55.36,60.0,29.25
27644,Brian Harman,2021 THE PLAYERS Championship,65.28,281.6,67.86,64.0,27.0
26596,Ryan Moore,2021 THE PLAYERS Championship,65.28,279.4,76.79,60.0,28.0
25818,Scott Piercy,2021 THE PLAYERS Championship,65.28,284.9,53.57,56.0,30.0
49298,Kramer Hickok,2021 THE PLAYERS Championship,63.89,284.0,67.86,53.85,28.75
24024,Zach Johnson,2021 THE PLAYERS Championship,63.89,281.4,53.57,61.54,28.25
50525,Collin Morikawa,2021 THE PLAYERS Championship,63.89,292.4,69.64,46.15,29.25
49771,J.T. Poston,2021 THE PLAYERS Championship,63.89,290.8,64.29,65.38,28.25
31560,Brian Stuard,2021 THE PLAYERS Championship,63.89,274.5,82.14,53.85,28.75
27554,Scott Harrington,2021 THE PLAYERS Championship,62.5,306.5,51.79,66.67,29.25
35532,Tom Hoge,2021 THE PLAYERS Championship,62.5,279.6,58.93,62.96,28.25
30925,Dustin Johnson,2021 THE PLAYERS Championship,62.5,303.3,55.36,55.56,28.75
26300,Matt Jones,2021 THE PLAYERS Championship,62.5,300.0,44.64,55.56,29.0
33122,Russell Knox,2021 THE PLAYERS Championship,62.5,278.0,64.29,48.15,29.75
29518,Brendan Steele,2021 THE PLAYERS Championship,62.5,286.6,55.36,59.26,27.75
29479,Scott Brown,2021 THE PLAYERS Championship,61.11,288.4,53.57,57.14,28.75
47993,Denny McCarthy,2021 THE PLAYERS Championship,61.11,286.6,67.86,57.14,28.5
24502,Adam Scott,2021 THE PLAYERS Championship,61.11,308.4,46.43,57.14,28.0
27064,Jhonattan Vegas,2021 THE PLAYERS Championship,61.11,291.1,58.93,57.14,29.75
36699,Patrick Rodgers,2021 THE PLAYERS Championship,59.72,304.4,55.36,55.17,28.0
35891,Cameron Smith,2021 THE PLAYERS Championship,59.72,291.0,42.86,62.07,26.75
45522,Christiaan Bezuidenhout,2021 THE PLAYERS Championship,58.33,278.6,66.07,70.0,27.0
28775,Nate Lashley,2021 THE PLAYERS Championship,54.17,279.6,51.79,54.55,28.5
