RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,2,40026,Daniel Berger,80.00,16,20
2,0,39977,Max Homa,79.17,19,24
3,0,50525,Collin Morikawa,77.78,14,18
4,0,23481,Marcel Siem,77.27,17,22
5,0,46402,Talor Gooch,75.00,15,20
6,0,29970,Dylan Frittelli,72.73,16,22
7,0,25364,Paul Casey,72.22,13,18
8,0,30812,Benjamin Hebert,72.00,18,25
9,0,40098,Matt Fitzpatrick,70.83,17,24
10,0,26329,Louis Oosthuizen,68.42,13,19
11,0,35310,Lanto Griffin,68.18,15,22
11,0,24502,Adam Scott,68.18,15,22
13,0,46717,Viktor Hovland,66.67,14,21
13,0,34500,Ryosuke Kinoshita,66.67,16,24
15,0,33419,Cameron Tringale,65.38,17,26
15,0,48640,Johannes Veerman,65.38,17,26
17,0,47238,Jazz Janewattananond,64.52,20,31
18,0,34076,Joel Dahmen,64.00,16,25
19,0,46414,Aaron Rai,63.64,14,22
19,0,35314,Andy Sullivan,63.64,14,22
19,0,33448,Justin Thomas,63.64,14,22
22,0,33948,Byeong Hun An,63.16,12,19
22,0,34046,Jordan Spieth,63.16,12,19
24,0,28938,Justin Harding,62.50,15,24
25,0,24138,Ian Poulter,62.07,18,29
26,0,30911,Tommy Fleetwood,61.90,13,21
26,0,46046,Scottie Scheffler,61.90,13,21
28,0,48081,Xander Schauffele,61.54,16,26
28,0,29518,Brendan Steele,61.54,16,26
30,0,22405,Justin Rose,60.87,14,23
31,0,35506,Mackenzie Hughes,60.00,12,20
32,0,45836,Richard Bland,59.09,13,22
32,0,35181,Daniel van Tonder,59.09,13,22
34,0,33974,Dean Burmester,58.33,14,24
35,0,36689,Brooks Koepka,57.89,11,19
35,0,52215,Robert MacIntyre,57.89,11,19
37,0,45486,Joaquin Niemann,57.69,15,26
37,0,29221,Webb Simpson,57.69,15,26
39,0,30944,Jason Kokrak,57.14,12,21
39,0,46970,Jon Rahm,57.14,8,14
39,0,50722,Jon Thomson,57.14,16,28
42,0,47959,Bryson DeChambeau,56.52,13,23
42,0,31646,Emiliano Grillo,56.52,13,23
44,-34,26476,Chez Reavie,56.00,14,25
44,0,34708,Jack Senior,56.00,14,25
44,0,35891,Cameron Smith,56.00,14,25
47,0,45526,Abraham Ancer,55.00,11,20
47,0,27214,Kevin Streelman,55.00,11,20
49,0,54190,Richard Mansell,54.55,12,22
50,0,45847,JC Ritchie,54.17,13,24
50,0,34541,Poom Saksansin,54.17,13,24
52,0,29725,Tony Finau,52.94,9,17
53,0,48887,Matt Wallace,52.38,11,21
54,0,32102,Rickie Fowler,52.17,12,23
55,0,20766,Padraig Harrington,52.00,13,25
55,0,32139,Danny Willett,52.00,13,25
57,0,46837,Yuxin Lin,51.85,14,27
58,0,45194,Marcus Armitage,50.00,11,22
58,0,45522,Christiaan Bezuidenhout,50.00,13,26
58,0,47504,Sam Burns,50.00,14,28
58,0,39997,Corey Conners,50.00,9,18
58,0,29420,Billy Horschel,50.00,9,18
58,0,30925,Dustin Johnson,50.00,11,22
58,0,48867,Matti Schmid,50.00,9,18
58,0,27649,Brandt Snedeker,50.00,9,18
66,0,29478,Kevin Kisner,48.00,12,25
67,0,34587,Chan Kim,47.06,8,17
68,0,34099,Harris English,46.15,12,26
68,0,47989,Sam Horsfield,46.15,12,26
70,0,20396,Lee Westwood,45.83,11,24
71,0,29936,Ryan Fox,45.00,9,20
72,0,33204,Shane Lowry,44.44,8,18
73,0,28237,Rory McIlroy,44.00,11,25
74,0,21209,Sergio Garcia,42.86,6,14
75,0,46646,Antoine Rozner,41.67,10,24
75,0,29454,Bernd Wiesberger,41.67,10,24
77,0,27644,Brian Harman,39.13,9,23
