PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS
34046,Jordan Spieth,2021 Masters Tournament,77.78,294.1,75.0,50.0,30.25,32
47483,Will Zalatoris,2021 Masters Tournament,73.61,298.8,69.64,63.16,30.0,31
39997,Corey Conners,2021 Masters Tournament,72.22,296.0,78.57,45.0,31.0,30
50525,Collin Morikawa,2021 Masters Tournament,70.83,291.0,80.36,42.86,30.25,31
48081,Xander Schauffele,2021 Masters Tournament,70.83,311.4,71.43,52.38,29.25,33
35891,Cameron Smith,2021 Masters Tournament,70.83,296.4,67.86,52.38,30.0,34
30911,Tommy Fleetwood,2021 Masters Tournament,69.44,294.4,62.5,40.91,31.75,33
32839,Hideki Matsuyama,2021 Masters Tournament,69.44,288.8,64.29,72.73,28.5,29
46970,Jon Rahm,2021 Masters Tournament,69.44,315.6,75.0,68.18,30.0,30
22405,Justin Rose,2021 Masters Tournament,69.44,293.0,66.07,45.45,29.75,25
27644,Brian Harman,2021 Masters Tournament,68.06,293.3,69.64,52.17,29.25,28
33204,Shane Lowry,2021 Masters Tournament,68.06,300.3,62.5,56.52,29.75,27
46046,Scottie Scheffler,2021 Masters Tournament,68.06,303.9,64.29,56.52,30.0,29
26331,Charl Schwartzel,2021 Masters Tournament,68.06,295.5,82.14,52.17,30.25,32
25804,Bubba Watson,2021 Masters Tournament,68.06,298.8,69.64,56.52,30.5,34
27936,Martin Laird,2021 Masters Tournament,66.67,304.3,64.29,45.83,30.25,28
1810,Phil Mickelson,2021 Masters Tournament,66.67,295.9,66.07,54.17,30.75,31
45486,Joaquin Niemann,2021 Masters Tournament,66.67,315.1,58.93,54.17,30.75,30
26329,Louis Oosthuizen,2021 Masters Tournament,66.67,297.9,75.0,58.33,30.75,33
33448,Justin Thomas,2021 Masters Tournament,66.67,314.0,55.36,54.17,29.25,29
40098,Matt Fitzpatrick,2021 Masters Tournament,65.28,298.6,87.5,56.0,30.5,28
26300,Matt Jones,2021 Masters Tournament,65.28,296.1,62.5,52.0,29.75,28
48822,Sebastián Muñoz,2021 Masters Tournament,65.28,300.9,66.07,52.0,30.5,31
48887,Matt Wallace,2021 Masters Tournament,65.28,285.8,71.43,52.0,29.75,31
29454,Bernd Wiesberger,2021 Masters Tournament,65.28,301.4,76.79,48.0,29.75,31
25364,Paul Casey,2021 Masters Tournament,63.89,301.4,58.93,50.0,30.25,30
20229,Stewart Cink,2021 Masters Tournament,63.89,305.4,58.93,57.69,29.25,29
26851,Marc Leishman,2021 Masters Tournament,63.89,296.3,51.79,57.69,28.5,29
23320,Ryan Palmer,2021 Masters Tournament,63.89,312.3,62.5,46.15,29.0,31
45526,Abraham Ancer,2021 Masters Tournament,62.5,287.8,82.14,51.85,28.25,29
52372,Cameron Champ,2021 Masters Tournament,62.5,324.4,71.43,48.15,30.25,29
34099,Harris English,2021 Masters Tournament,62.5,302.9,75.0,62.96,29.5,30
31557,Jim Herman,2021 Masters Tournament,62.5,295.9,67.86,37.04,31.75,33
37455,Si Woo Kim,2021 Masters Tournament,62.5,295.5,71.43,62.96,28.75,30
52215,Robert MacIntyre,2021 Masters Tournament,62.5,299.4,67.86,51.85,29.25,30
29221,Webb Simpson,2021 Masters Tournament,62.5,286.0,69.64,59.26,28.25,30
47959,Bryson DeChambeau,2021 Masters Tournament,61.11,323.6,55.36,53.57,30.5,29
24502,Adam Scott,2021 Masters Tournament,61.11,310.5,64.29,39.29,30.5,31
32150,Michael Thompson,2021 Masters Tournament,61.11,292.5,76.79,60.71,29.5,29
31323,Gary Woodland,2021 Masters Tournament,61.11,316.5,58.93,46.43,29.25,30
21528,Henrik Stenson,2021 Masters Tournament,59.72,294.8,85.71,58.62,28.5,24
46717,Viktor Hovland,2021 Masters Tournament,58.33,300.1,76.79,50.0,27.75,26
35506,Mackenzie Hughes,2021 Masters Tournament,58.33,298.0,69.64,50.0,30.25,32
25198,Francesco Molinari,2021 Masters Tournament,58.33,297.5,64.29,40.0,29.5,27
30927,Brendon Todd,2021 Masters Tournament,58.33,277.1,83.93,56.67,29.75,30
34363,Tyrrell Hatton,2021 Masters Tournament,56.94,304.4,66.07,61.29,28.5,30
30944,Jason Kokrak,2021 Masters Tournament,56.94,311.6,57.14,41.94,29.25,28
25396,Kevin Na,2021 Masters Tournament,56.94,293.8,75.0,74.19,27.25,29
29420,Billy Horschel,2021 Masters Tournament,52.78,299.6,76.79,55.88,28.5,30
34360,Patrick Reed,2021 Masters Tournament,52.78,300.4,66.07,61.76,26.75,27
29725,Tony Finau,2021 Masters Tournament,51.39,308.4,55.36,65.71,26.75,26
45522,Christiaan Bezuidenhout,2021 Masters Tournament,50.0,288.4,69.64,63.89,28.0,28
24138,Ian Poulter,2021 Masters Tournament,48.61,281.0,75.0,67.57,26.75,28
6373,José María Olazábal,2021 Masters Tournament,43.06,266.9,76.79,68.29,26.25,30
