PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
33448,Justin Thomas,2018 The Honda Classic,0.52075,0.615,2.374,0.535
30911,Tommy Fleetwood,2018 The Honda Classic,0.173,0.736,1.517,1.119
29908,C.T. Pan,2018 The Honda Classic,-1.25575,0.503,1.202,1.095
27129,Luke List,2018 The Honda Classic,1.2535,0.57,1.039,1.182
33141,Keegan Bradley,2018 The Honda Classic,-2.214,0.931,1.68,-0.102
33948,Byeong Hun An,2018 The Honda Classic,0.81825,0.698,1.552,-0.023
24502,Adam Scott,2018 The Honda Classic,-0.3405,0.244,1.312,0.579
25818,Scott Piercy,2018 The Honda Classic,-0.51675,0.267,2.176,-0.381
27349,Alex Noren,2018 The Honda Classic,1.7535,0.67,1.245,0.127
25686,Jason Dufner,2018 The Honda Classic,-0.237,0.472,0.931,0.379
49964,Aaron Wise,2018 The Honda Classic,-0.938,0.386,1.358,-0.011
34174,John Huh,2018 The Honda Classic,-0.4125,0.132,0.799,0.776
25900,Lucas Glover,2018 The Honda Classic,-0.1335,0.891,0.691,0.097
35879,Kelly Kraft,2018 The Honda Classic,0.92575,0.145,1.438,0.036
21209,Sergio Garcia,2018 The Honda Classic,-0.755,-0.409,1.713,0.246
20229,Stewart Cink,2018 The Honda Classic,-0.9225,0.382,0.816,0.269
26499,Rafa Cabrera Bello,2018 The Honda Classic,-0.38425,-0.245,1.868,-0.194
23621,Rory Sabbatini,2018 The Honda Classic,0.12875,0.498,0.576,0.342
50526,Tom Lovelady,2018 The Honda Classic,0.13675,0.749,0.806,-0.147
29461,Jamie Lovemark,2018 The Honda Classic,1.388,-0.32,0.895,0.832
27644,Brian Harman,2018 The Honda Classic,-0.5775,0.505,0.756,0.112
29970,Dylan Frittelli,2018 The Honda Classic,1.0425,0.829,0.933,-0.51
29221,Webb Simpson,2018 The Honda Classic,1.80075,-0.246,0.998,0.491
8793,Tiger Woods,2018 The Honda Classic,0.8405,0.047,1.119,0.039
31646,Emiliano Grillo,2018 The Honda Classic,1.38425,0.88,0.702,-0.421
26596,Ryan Moore,2018 The Honda Classic,-0.824,-0.026,0.944,0.201
47504,Sam Burns,2018 The Honda Classic,1.441,-0.064,1.264,-0.097
34076,Joel Dahmen,2018 The Honda Classic,-0.28325,0.646,0.974,-0.542
34098,Russell Henley,2018 The Honda Classic,0.27875,0.014,1.527,-0.525
40009,Dominic Bozzelli,2018 The Honda Classic,0.8155,0.273,0.187,0.52
32150,Michael Thompson,2018 The Honda Classic,0.43525,0.375,0.764,-0.28
31416,Derek Fathauer,2018 The Honda Classic,0.96275,-0.425,0.103,1.154
26329,Louis Oosthuizen,2018 The Honda Classic,0.51,0.842,0.331,-0.388
47347,Adam Schenk,2018 The Honda Classic,0.305,0.21,0.598,-0.069
33293,Thomas Pieters,2018 The Honda Classic,1.08325,0.255,0.548,-0.092
40026,Daniel Berger,2018 The Honda Classic,0.344,0.098,0.541,0.062
23325,Vaughn Taylor,2018 The Honda Classic,-0.88625,0.564,-0.478,0.595
51997,Andrew Novak,2018 The Honda Classic,-0.6345,-0.127,0.307,0.5
31202,William McGirt,2018 The Honda Classic,0.14775,0.217,0.633,-0.202
39997,Corey Conners,2018 The Honda Classic,-0.84325,0.572,0.011,0.055
27095,Nick Watney,2018 The Honda Classic,0.166,0.127,0.471,0.031
33204,Shane Lowry,2018 The Honda Classic,-0.30675,0.255,0.041,0.306
31323,Gary Woodland,2018 The Honda Classic,-0.29875,0.725,0.137,-0.268
30692,Scott Stallings,2018 The Honda Classic,0.4555,-0.315,0.696,0.209
36699,Patrick Rodgers,2018 The Honda Classic,0.21725,-0.327,0.318,0.587
27141,J.B. Holmes,2018 The Honda Classic,-0.25475,-0.54,-0.661,1.751
10809,Jim Furyk,2018 The Honda Classic,0.10075,-0.255,-0.076,0.775
33413,Ben Martin,2018 The Honda Classic,0.3525,0.043,0.672,-0.272
45609,Tyler Duncan,2018 The Honda Classic,0.9425,0.24,0.749,-0.636
35506,Mackenzie Hughes,2018 The Honda Classic,-0.46225,0.243,0.324,-0.31
31420,Anirban Lahiri,2018 The Honda Classic,-0.43675,0.329,0.405,-0.502
25632,Jimmy Walker,2018 The Honda Classic,0.672,0.055,-0.542,0.61
27963,Chris Stroud,2018 The Honda Classic,0.6885,-0.123,0.032,0.197
39975,Michael Kim,2018 The Honda Classic,0.17575,0.134,-0.638,0.373
29479,Scott Brown,2018 The Honda Classic,0.6915,-0.145,0.267,-0.269
34099,Harris English,2018 The Honda Classic,1.0425,-0.373,0.448,-0.322
33461,Morgan Hoffmann,2018 The Honda Classic,0.584,-0.211,0.042,-0.12
32640,Troy Merritt,2018 The Honda Classic,0.6905,-0.594,-0.667,0.866
28307,Matt Every,2018 The Honda Classic,-0.3025,0.161,0.331,-0.895
46501,Ollie Schniederjans,2018 The Honda Classic,-0.0355,-1.046,0.957,-0.33
30926,Chris Kirk,2018 The Honda Classic,1.22725,0.273,-0.704,-0.001
35376,Roberto Díaz,2018 The Honda Classic,1.33625,-0.274,-0.641,0.374
20593,Greg Chalmers,2018 The Honda Classic,2.148,-0.081,-1.654,1.132
34264,Hudson Swafford,2018 The Honda Classic,0.1755,-0.294,-0.857,0.52
27064,Jhonattan Vegas,2018 The Honda Classic,-0.81375,-0.042,-0.287,-0.312
37189,Harold Varner III,2018 The Honda Classic,-0.779,-0.615,0.124,-0.186
28132,Tyrone Van Aswegen,2018 The Honda Classic,-0.353,-0.19,-0.689,0.028
34466,Peter Malnati,2018 The Honda Classic,1.34075,0.04,-0.704,-0.382
28237,Rory McIlroy,2018 The Honda Classic,0.84925,0.726,-1.212,-0.569
32876,Martin Piller,2018 The Honda Classic,0.17625,-0.942,-0.653,0.464
28500,Martin Flores,2018 The Honda Classic,-0.781,0.008,-0.623,-0.559
27770,Camilo Villegas,2018 The Honda Classic,0.172,-0.493,-1.033,0.148
30978,Kiradech Aphibarnrat,2018 The Honda Classic,0.5335,0.325,-0.809,-1.254
34358,Jonathan Randolph,2018 The Honda Classic,0.67575,0.403,-1.123,-1.16
23541,Ben Crane,2018 The Honda Classic,0.34425,-0.891,-1.435,0.026
