RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46414,Aaron Rai,72.02%,857,1190
2,0,50525,Collin Morikawa,70.57%,741,1050
3,0,36884,Ben Kohles,70.54%,637,903
4,0,49960,Sepp Straka,70.10%,736,1050
5,0,34098,Russell Henley,69.49%,713,1026
6,0,30927,Brendon Todd,69.44%,843,1214
7,0,52513,Carson Young,69.28%,575,830
8,0,30911,Tommy Fleetwood,69.22%,688,994
9,0,40026,Daniel Berger,69.11%,499,722
10,0,26596,Ryan Moore,69.00%,552,800
11,0,25900,Lucas Glover,67.94%,693,1020
12,0,52375,Doug Ghim,67.37%,605,898
13,0,37455,Si Woo Kim,67.27%,779,1158
14,0,57362,Austin Eckroat,67.13%,729,1086
15,0,40058,Zac Blair,67.11%,561,836
16,0,36801,Mark Hubbard,67.04%,716,1068
17,0,46046,Scottie Scheffler,66.90%,665,994
18,0,26476,Chez Reavie,66.53%,479,720
19,0,27644,Brian Harman,66.29%,769,1160
20,0,28775,Nate Lashley,66.14%,459,694
21,0,33204,Shane Lowry,66.02%,647,980
22,0,24024,Zach Johnson,65.96%,405,614
23,0,30163,Henrik Norlander,65.90%,402,610
24,0,45609,Tyler Duncan,65.88%,477,724
24,0,34256,Andrew Putnam,65.88%,618,938
26,0,49771,J.T. Poston,65.71%,711,1082
27,0,56630,Akshay Bhatia,65.50%,786,1200
28,0,23108,Matt Kuchar,65.49%,520,794
29,0,55708,Hayden Buckley,65.40%,518,792
30,0,55182,Tom Kim,65.31%,704,1078
31,0,54628,Lee Hodges,65.23%,664,1018
31,0,32640,Troy Merritt,65.23%,544,834
33,0,34076,Joel Dahmen,64.59%,611,946
34,0,39997,Corey Conners,64.29%,783,1218
35,0,51349,Nico Echavarria,63.90%,570,892
36,0,30926,Chris Kirk,63.83%,637,998
37,0,34587,Chan Kim,63.82%,582,912
38,0,27349,Alex Noren,63.78%,611,958
39,0,29420,Billy Horschel,63.76%,672,1054
40,0,31646,Emiliano Grillo,63.69%,721,1132
41,0,51890,Greyson Sigg,63.65%,527,828
42,0,39971,Sungjae Im,63.62%,738,1160
43,0,28252,Seamus Power,63.59%,683,1074
44,0,39327,Ben Silverman,63.51%,616,970
44,0,40115,Adam Svensson,63.51%,771,1214
46,0,29908,C.T. Pan,63.30%,414,654
47,0,22405,Justin Rose,63.20%,541,856
48,0,40098,Matt Fitzpatrick,63.18%,628,994
48,0,48153,Matthieu Pavon,63.18%,556,880
50,0,51287,Ryo Hisatsune,63.13%,577,914
51,0,37275,Sam Ryder,63.04%,498,790
52,0,32791,K.H. Lee,63.00%,487,773
53,0,47983,Chad Ramey,62.77%,521,830
54,0,34099,Harris English,62.76%,659,1050
55,0,33486,Roger Sloan,62.75%,433,690
56,0,52955,Ludvig Åberg,62.68%,623,994
57,0,33141,Keegan Bradley,62.55%,693,1108
58,0,52666,Sami Valimaki,62.54%,414,662
59,0,34046,Jordan Spieth,62.45%,612,980
60,0,48319,Tom Whitney,62.43%,432,692
61,0,47993,Denny McCarthy,62.37%,726,1164
62,0,33399,Adam Hadwin,61.79%,629,1018
63,0,32367,Jorge Campillo,61.76%,441,714
64,0,57900,Chandler Phillips,61.75%,536,868
65,0,32757,Patton Kizzire,61.72%,395,640
66,0,47504,Sam Burns,61.62%,631,1024
67,0,48081,Xander Schauffele,61.57%,644,1046
68,0,36871,Matt NeSmith,61.54%,496,806
69,0,59143,Mac Meissner,61.42%,511,832
70,0,52374,Brandon Wu,61.32%,520,848
71,0,27649,Brandt Snedeker,61.24%,425,694
72,0,28089,Jason Day,61.16%,592,968
73,0,45157,Cam Davis,61.09%,639,1046
74,0,50493,Justin Suh,61.08%,474,776
75,0,47347,Adam Schenk,60.90%,648,1064
76,0,27064,Jhonattan Vegas,60.86%,454,746
77,0,58168,Davis Thompson,60.85%,690,1134
78,0,46717,Viktor Hovland,60.65%,484,798
79,0,54576,Patrick Fishburn,60.51%,403,666
80,0,36326,David Lipsky,60.46%,445,736
81,0,47679,Victor Perez,60.45%,567,938
82,0,47483,Will Zalatoris,60.44%,521,862
83,0,51696,Rico Hoey,60.34%,502,832
84,0,28237,Rory McIlroy,60.29%,580,962
84,0,25493,Nick Taylor,60.29%,580,962
86,0,27214,Kevin Streelman,60.28%,428,710
87,0,40162,Justin Lower,60.17%,624,1037
88,0,32102,Rickie Fowler,60.09%,548,912
89,0,35532,Tom Hoge,60.06%,764,1272
90,0,46442,Maverick McNealy,59.96%,608,1014
91,0,32839,Hideki Matsuyama,59.67%,586,982
92,0,51634,Sahith Theegala,59.66%,741,1242
93,0,57366,Cameron Young,59.61%,676,1134
94,0,45522,Christiaan Bezuidenhout,59.49%,630,1059
95,0,36799,Stephan Jaeger,59.39%,569,958
96,0,46340,Alex Smalley,59.28%,428,722
97,0,48117,Kurt Kitayama,58.99%,551,934
98,0,33653,Thomas Detry,58.98%,545,924
98,0,27936,Martin Laird,58.98%,427,724
100,0,52514,Trace Crowe,58.77%,382,650
101,0,37378,Min Woo Lee,58.70%,506,862
101,0,39546,Keith Mitchell,58.70%,560,954
103,0,54783,Dylan Wu,58.53%,501,856
104,0,39324,J.J. Spaun,58.51%,495,846
105,0,48867,Matti Schmid,58.45%,484,828
106,0,45242,Kevin Yu,58.44%,464,794
107,0,35450,Patrick Cantlay,58.42%,534,914
108,0,51997,Andrew Novak,58.41%,514,880
109,0,29725,Tony Finau,58.36%,642,1100
110,0,24502,Adam Scott,58.28%,577,990
111,0,51070,Vincent Norrman,58.27%,398,683
112,0,47995,Davis Riley,58.25%,494,848
113,0,46441,Robby Shelton,58.23%,467,802
114,0,32070,Rafael Campos,58.18%,370,636
115,0,40006,Erik van Rooyen,58.14%,543,934
116,0,47591,Eric Cole,58.09%,754,1298
116,0,60067,Joe Highsmith,58.09%,402,692
118,0,51977,Max Greyserman,58.03%,553,953
119,0,35310,Lanto Griffin,57.92%,417,720
120,0,49947,Taylor Moore,57.80%,652,1128
121,0,32333,Kevin Tway,57.65%,354,614
122,0,55454,Carl Yuan,57.55%,381,662
123,0,50484,Hayden Springer,57.52%,413,718
124,0,60004,Jacob Bridgeman,57.47%,446,776
125,0,52372,Cameron Champ,57.28%,346,604
126,0,55893,Sam Stevens,57.05%,583,1022
127,0,54591,Ben Griffin,56.88%,678,1192
128,0,52215,Robert MacIntyre,56.64%,563,994
129,0,47663,Kevin Dougherty,56.52%,373,660
