RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,33448,Justin Thomas,25.00,25,1
2,0,31646,Emiliano Grillo,26.00,26,1
2,0,33419,Cameron Tringale,26.00,26,1
4,0,33974,Dean Burmester,27.00,27,1
4,0,25364,Paul Casey,27.00,27,1
4,0,34099,Harris English,27.00,27,1
4,0,29970,Dylan Frittelli,27.00,27,1
4,0,30925,Dustin Johnson,27.00,27,1
4,0,50525,Collin Morikawa,27.00,27,1
4,38,26476,Chez Reavie,27.00,27,1
4,0,22405,Justin Rose,27.00,27,1
4,0,29518,Brendan Steele,27.00,27,1
4,0,35314,Andy Sullivan,27.00,27,1
4,0,35181,Daniel van Tonder,27.00,27,1
4,0,48640,Johannes Veerman,27.00,27,1
16,0,47504,Sam Burns,28.00,28,1
16,0,28938,Justin Harding,28.00,28,1
16,0,20766,Padraig Harrington,28.00,28,1
16,0,29478,Kevin Kisner,28.00,28,1
16,0,36689,Brooks Koepka,28.00,28,1
16,0,46046,Scottie Scheffler,28.00,28,1
16,0,29221,Webb Simpson,28.00,28,1
16,0,35891,Cameron Smith,28.00,28,1
16,0,32139,Danny Willett,28.00,28,1
25,17,40026,Daniel Berger,29.00,29,1
25,0,40098,Matt Fitzpatrick,29.00,29,1
25,0,30911,Tommy Fleetwood,29.00,29,1
25,0,27644,Brian Harman,29.00,29,1
25,0,47238,Jazz Janewattananond,29.00,29,1
25,0,34500,Ryosuke Kinoshita,29.00,29,1
25,0,33204,Shane Lowry,29.00,29,1
25,0,26329,Louis Oosthuizen,29.00,29,1
25,0,24138,Ian Poulter,29.00,29,1
25,0,45847,JC Ritchie,29.00,29,1
25,0,48867,Matti Schmid,29.00,29,1
25,0,34708,Jack Senior,29.00,29,1
25,0,23481,Marcel Siem,29.00,29,1
25,0,48887,Matt Wallace,29.00,29,1
39,0,45836,Richard Bland,30.00,30,1
39,0,39997,Corey Conners,30.00,30,1
39,0,47959,Bryson DeChambeau,30.00,30,1
39,0,29725,Tony Finau,30.00,30,1
39,0,29936,Ryan Fox,30.00,30,1
39,0,34587,Chan Kim,30.00,30,1
39,0,30944,Jason Kokrak,30.00,30,1
39,0,52215,Robert MacIntyre,30.00,30,1
39,0,54190,Richard Mansell,30.00,30,1
39,0,45486,Joaquin Niemann,30.00,30,1
39,0,46970,Jon Rahm,30.00,30,1
39,0,46646,Antoine Rozner,30.00,30,1
39,0,24502,Adam Scott,30.00,30,1
39,0,34046,Jordan Spieth,30.00,30,1
39,0,50722,Jon Thomson,30.00,30,1
54,0,33948,Byeong Hun An,31.00,31,1
54,0,45526,Abraham Ancer,31.00,31,1
54,0,34076,Joel Dahmen,31.00,31,1
54,0,32102,Rickie Fowler,31.00,31,1
54,0,30812,Benjamin Hebert,31.00,31,1
54,0,39977,Max Homa,31.00,31,1
54,0,47989,Sam Horsfield,31.00,31,1
54,0,46717,Viktor Hovland,31.00,31,1
54,0,46837,Yuxin Lin,31.00,31,1
54,0,46414,Aaron Rai,31.00,31,1
54,0,34541,Poom Saksansin,31.00,31,1
54,0,48081,Xander Schauffele,31.00,31,1
54,0,27649,Brandt Snedeker,31.00,31,1
54,0,20396,Lee Westwood,31.00,31,1
54,0,29454,Bernd Wiesberger,31.00,31,1
69,0,45522,Christiaan Bezuidenhout,32.00,32,1
69,0,21209,Sergio Garcia,32.00,32,1
69,0,35506,Mackenzie Hughes,32.00,32,1
69,0,27214,Kevin Streelman,32.00,32,1
73,0,45194,Marcus Armitage,33.00,33,1
73,0,28237,Rory McIlroy,33.00,33,1
75,0,46402,Talor Gooch,34.00,34,1
75,0,35310,Lanto Griffin,34.00,34,1
75,0,29420,Billy Horschel,34.00,34,1
