PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS
49960,Sepp Straka,2023 PGA Championship,75.00%,307.1,58.93%,38.89%,30.0,34
47959,Bryson DeChambeau,2023 PGA Championship,73.61%,330.5,55.36%,57.89%,29.25,28
35450,Patrick Cantlay,2023 PGA Championship,70.83%,313.8,71.43%,52.38%,29.0,29
46717,Viktor Hovland,2023 PGA Championship,70.83%,304.8,53.57%,66.67%,28.75,29
48081,Xander Schauffele,2023 PGA Championship,70.83%,312.4,46.43%,57.14%,30.25,29
46046,Scottie Scheffler,2023 PGA Championship,70.83%,320.4,58.93%,71.43%,29.0,26
33204,Shane Lowry,2023 PGA Championship,69.44%,303.1,51.79%,45.45%,29.75,30
33674,Adrian Meronk,2023 PGA Championship,69.44%,296.0,57.14%,22.73%,30.75,31
54628,Lee Hodges,2023 PGA Championship,68.06%,294.4,62.50%,34.78%,31.75,30
48051,Yannik Paul,2023 PGA Championship,68.06%,298.1,48.21%,39.13%,32.5,34
47679,Victor Perez,2023 PGA Championship,68.06%,290.6,55.36%,52.17%,29.5,31
47591,Eric Cole,2023 PGA Championship,66.67%,300.1,46.43%,62.50%,29.75,27
30911,Tommy Fleetwood,2023 PGA Championship,66.67%,305.9,51.79%,54.17%,29.75,33
28237,Rory McIlroy,2023 PGA Championship,66.67%,314.1,41.07%,50.00%,28.5,30
34046,Jordan Spieth,2023 PGA Championship,66.67%,315.0,51.79%,45.83%,30.0,31
47993,Denny McCarthy,2023 PGA Championship,65.28%,283.9,46.43%,56.00%,30.5,30
47529,Mito Pereira,2023 PGA Championship,65.28%,309.8,51.79%,52.00%,29.5,31
48699,Callum Tarren,2023 PGA Championship,65.28%,313.8,41.07%,40.00%,29.5,32
36799,Stephan Jaeger,2023 PGA Championship,63.89%,307.3,50.00%,50.00%,31.0,32
48117,Kurt Kitayama,2023 PGA Championship,63.89%,306.5,44.64%,57.69%,27.5,28
39546,Keith Mitchell,2023 PGA Championship,63.89%,312.9,42.86%,53.85%,31.0,30
36871,Matt NeSmith,2023 PGA Championship,63.89%,295.6,55.36%,61.54%,30.0,29
36699,Patrick Rodgers,2023 PGA Championship,63.89%,310.0,44.64%,65.38%,30.75,32
24502,Adam Scott,2023 PGA Championship,63.89%,320.1,46.43%,46.15%,29.75,31
45157,Cam Davis,2023 PGA Championship,62.50%,313.8,51.79%,70.37%,28.5,30
32791,K.H. Lee,2023 PGA Championship,62.50%,300.5,46.43%,51.85%,29.25,34
50525,Collin Morikawa,2023 PGA Championship,62.50%,294.6,55.36%,44.44%,29.25,25
46340,Alex Smalley,2023 PGA Championship,62.50%,304.1,51.79%,62.96%,29.5,30
33141,Keegan Bradley,2023 PGA Championship,61.11%,305.3,55.36%,39.29%,29.25,27
55708,Hayden Buckley,2023 PGA Championship,61.11%,306.6,51.79%,50.00%,28.25,28
39997,Corey Conners,2023 PGA Championship,61.11%,305.5,44.64%,57.14%,28.0,26
33399,Adam Hadwin,2023 PGA Championship,61.11%,296.6,51.79%,57.14%,29.75,29
35532,Tom Hoge,2023 PGA Championship,61.11%,286.9,41.07%,42.86%,30.25,32
52453,Nicolai Hojgaard,2023 PGA Championship,61.11%,311.5,48.21%,50.00%,29.25,33
36689,Brooks Koepka,2023 PGA Championship,61.11%,319.0,57.14%,67.86%,26.0,24
32839,Hideki Matsuyama,2023 PGA Championship,61.11%,291.3,57.14%,64.29%,30.0,30
34360,Patrick Reed,2023 PGA Championship,61.11%,288.4,41.07%,67.86%,28.0,29
50493,Justin Suh,2023 PGA Championship,61.11%,305.0,50.00%,71.43%,29.0,29
22764,Michael Block,2023 PGA Championship,59.72%,291.1,62.50%,62.07%,27.5,25
34076,Joel Dahmen,2023 PGA Championship,59.72%,280.5,46.43%,51.72%,31.0,34
34363,Tyrrell Hatton,2023 PGA Championship,59.72%,307.0,44.64%,58.62%,28.5,32
47056,Rikuya Hoshino,2023 PGA Championship,59.72%,290.8,44.64%,44.83%,30.25,34
