PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46970,Jon Rahm,2020 the Memorial Tournament pres. by Nationwide,0.566,1.045,1.577,1.243
23320,Ryan Palmer,2020 the Memorial Tournament pres. by Nationwide,0.39525,-0.049,2.554,0.781
48081,Xander Schauffele,2020 the Memorial Tournament pres. by Nationwide,-1.23825,1.734,1.143,0.293
50525,Collin Morikawa,2020 the Memorial Tournament pres. by Nationwide,-2.0725,0.395,1.276,0.583
40006,Erik van Rooyen,2020 the Memorial Tournament pres. by Nationwide,-0.76075,0.134,2.082,-0.024
25804,Bubba Watson,2020 the Memorial Tournament pres. by Nationwide,-0.91275,0.724,1.96,-0.59
21209,Sergio Garcia,2020 the Memorial Tournament pres. by Nationwide,-0.73175,0.224,0.785,0.904
34046,Jordan Spieth,2020 the Memorial Tournament pres. by Nationwide,0.0195,-0.48,1.185,1.208
27129,Luke List,2020 the Memorial Tournament pres. by Nationwide,0.42875,1.21,0.38,0.163
48887,Matt Wallace,2020 the Memorial Tournament pres. by Nationwide,1.44,0.611,-0.183,1.314
25686,Jason Dufner,2020 the Memorial Tournament pres. by Nationwide,-1.23475,-0.131,1.017,0.78
28089,Jason Day,2020 the Memorial Tournament pres. by Nationwide,1.63175,-0.019,0.625,0.944
34099,Harris English,2020 the Memorial Tournament pres. by Nationwide,0.42225,0.318,0.917,0.274
46046,Scottie Scheffler,2020 the Memorial Tournament pres. by Nationwide,-0.054,0.732,0.811,-0.057
40098,Matt Fitzpatrick,2020 the Memorial Tournament pres. by Nationwide,2.02975,0.785,0.727,-0.111
25345,Carl Pettersson,2020 the Memorial Tournament pres. by Nationwide,-0.45075,-0.435,0.889,0.928
29970,Dylan Frittelli,2020 the Memorial Tournament pres. by Nationwide,0.2105,0.156,-0.105,1.17
29518,Brendan Steele,2020 the Memorial Tournament pres. by Nationwide,0.72075,0.736,0.468,0.007
39997,Corey Conners,2020 the Memorial Tournament pres. by Nationwide,0.22775,0.474,0.669,0.061
30927,Brendon Todd,2020 the Memorial Tournament pres. by Nationwide,0.26025,-0.416,0.277,1.31
25396,Kevin Na,2020 the Memorial Tournament pres. by Nationwide,1.294,-0.638,1.24,0.535
31323,Gary Woodland,2020 the Memorial Tournament pres. by Nationwide,0.3055,-0.952,1.561,0.516
48822,Sebastián Muñoz,2020 the Memorial Tournament pres. by Nationwide,-0.935,0.509,1.024,-0.416
29725,Tony Finau,2020 the Memorial Tournament pres. by Nationwide,1.586,0.829,0.812,-0.546
29420,Billy Horschel,2020 the Memorial Tournament pres. by Nationwide,0.89075,0.607,0.098,0.336
8793,Tiger Woods,2020 the Memorial Tournament pres. by Nationwide,-0.35825,-0.043,1.375,-0.292
33448,Justin Thomas,2020 the Memorial Tournament pres. by Nationwide,0.65475,0.029,0.437,0.561
32254,Xinjun Zhang,2020 the Memorial Tournament pres. by Nationwide,1.2205,0.392,0.544,0.025
29908,C.T. Pan,2020 the Memorial Tournament pres. by Nationwide,-0.50275,-0.168,0.818,0.284
37455,Si Woo Kim,2020 the Memorial Tournament pres. by Nationwide,0.76725,-0.319,1.298,-0.064
34360,Patrick Reed,2020 the Memorial Tournament pres. by Nationwide,1.28575,0.935,-0.18,0.14
26476,Chez Reavie,2020 the Memorial Tournament pres. by Nationwide,0.54825,0.047,0.316,0.52
1810,Phil Mickelson,2020 the Memorial Tournament pres. by Nationwide,-0.9235,0.555,-0.567,0.866
30163,Henrik Norlander,2020 the Memorial Tournament pres. by Nationwide,2.107,-0.557,1.018,0.363
25900,Lucas Glover,2020 the Memorial Tournament pres. by Nationwide,0.11,0.009,0.557,0.256
56278,Matthew Wolff,2020 the Memorial Tournament pres. by Nationwide,0.62625,1.142,0.444,-0.782
6527,Steve Stricker,2020 the Memorial Tournament pres. by Nationwide,0.9555,-0.167,0.152,0.74
35450,Patrick Cantlay,2020 the Memorial Tournament pres. by Nationwide,0.517,0.662,0.277,-0.275
35506,Mackenzie Hughes,2020 the Memorial Tournament pres. by Nationwide,2.27425,0.382,-0.268,0.543
26596,Ryan Moore,2020 the Memorial Tournament pres. by Nationwide,0.15025,0.211,0.599,-0.279
36699,Patrick Rodgers,2020 the Memorial Tournament pres. by Nationwide,1.2555,0.64,-0.201,-0.013
